image_name,mask_rel_path,split
cell0002.png,pseudo_masks/masks/train/cell0002_mask.png,train
cell0004.png,pseudo_masks/masks/train/cell0004_mask.png,train
cell0005.png,pseudo_masks/masks/train/cell0005_mask.png,train
cell0006.png,pseudo_masks/masks/train/cell0006_mask.png,train
cell0007.png,pseudo_masks/masks/train/cell0007_mask.png,train
cell0008.png,pseudo_masks/masks/train/cell0008_mask.png,train
cell0011.png,pseudo_masks/masks/train/cell0011_mask.png,train
cell0012.png,pseudo_masks/masks/train/cell0012_mask.png,train
cell0013.png,pseudo_masks/masks/train/cell0013_mask.png,train
cell0014.png,pseudo_masks/masks/train/cell0014_mask.png,train
cell0016.png,pseudo_masks/masks/train/cell0016_mask.png,train
cell0017.png,pseudo_masks/masks/train/cell0017_mask.png,train
cell0018.png,pseudo_masks/masks/train/cell0018_mask.png,train
cell0019.png,pseudo_masks/masks/train/cell0019_mask.png,train
cell0020.png,pseudo_masks/masks/train/cell0020_mask.png,train
cell0021.png,pseudo_masks/masks/train/cell0021_mask.png,train
cell0024.png,pseudo_masks/masks/train/cell0024_mask.png,train
cell0025.png,pseudo_masks/masks/train/cell0025_mask.png,train
cell0026.png,pseudo_masks/masks/train/cell0026_mask.png,train
cell0027.png,pseudo_masks/masks/train/cell0027_mask.png,train
cell0028.png,pseudo_masks/masks/train/cell0028_mask.png,train
cell0029.png,pseudo_masks/masks/train/cell0029_mask.png,train
cell0030.png,pseudo_masks/masks/train/cell0030_mask.png,train
cell0031.png,pseudo_masks/masks/train/cell0031_mask.png,train
cell0032.png,pseudo_masks/masks/train/cell0032_mask.png,train
cell0033.png,pseudo_masks/masks/train/cell0033_mask.png,train
cell0034.png,pseudo_masks/masks/train/cell0034_mask.png,train
cell0035.png,pseudo_masks/masks/train/cell0035_mask.png,train
cell0036.png,pseudo_masks/masks/train/cell0036_mask.png,train
cell0037.png,pseudo_masks/masks/train/cell0037_mask.png,train
cell0039.png,pseudo_masks/masks/train/cell0039_mask.png,train
cell0040.png,pseudo_masks/masks/train/cell0040_mask.png,train
cell0041.png,pseudo_masks/masks/train/cell0041_mask.png,train
cell0043.png,pseudo_masks/masks/train/cell0043_mask.png,train
cell0044.png,pseudo_masks/masks/train/cell0044_mask.png,train
cell0045.png,pseudo_masks/masks/train/cell0045_mask.png,train
cell0047.png,pseudo_masks/masks/train/cell0047_mask.png,train
cell0048.png,pseudo_masks/masks/train/cell0048_mask.png,train
cell0049.png,pseudo_masks/masks/train/cell0049_mask.png,train
cell0050.png,pseudo_masks/masks/train/cell0050_mask.png,train
cell0051.png,pseudo_masks/masks/train/cell0051_mask.png,train
cell0052.png,pseudo_masks/masks/train/cell0052_mask.png,train
cell0053.png,pseudo_masks/masks/train/cell0053_mask.png,train
cell0054.png,pseudo_masks/masks/train/cell0054_mask.png,train
cell0055.png,pseudo_masks/masks/train/cell0055_mask.png,train
cell0057.png,pseudo_masks/masks/train/cell0057_mask.png,train
cell0058.png,pseudo_masks/masks/train/cell0058_mask.png,train
cell0059.png,pseudo_masks/masks/train/cell0059_mask.png,train
cell0060.png,pseudo_masks/masks/train/cell0060_mask.png,train
cell0061.png,pseudo_masks/masks/train/cell0061_mask.png,train
cell0062.png,pseudo_masks/masks/train/cell0062_mask.png,train
cell0063.png,pseudo_masks/masks/train/cell0063_mask.png,train
cell0064.png,pseudo_masks/masks/train/cell0064_mask.png,train
cell0066.png,pseudo_masks/masks/train/cell0066_mask.png,train
cell0067.png,pseudo_masks/masks/train/cell0067_mask.png,train
cell0068.png,pseudo_masks/masks/train/cell0068_mask.png,train
cell0069.png,pseudo_masks/masks/train/cell0069_mask.png,train
cell0070.png,pseudo_masks/masks/train/cell0070_mask.png,train
cell0071.png,pseudo_masks/masks/train/cell0071_mask.png,train
cell0073.png,pseudo_masks/masks/train/cell0073_mask.png,train
cell0075.png,pseudo_masks/masks/train/cell0075_mask.png,train
cell0076.png,pseudo_masks/masks/train/cell0076_mask.png,train
cell0077.png,pseudo_masks/masks/train/cell0077_mask.png,train
cell0079.png,pseudo_masks/masks/train/cell0079_mask.png,train
cell0080.png,pseudo_masks/masks/train/cell0080_mask.png,train
cell0081.png,pseudo_masks/masks/train/cell0081_mask.png,train
cell0082.png,pseudo_masks/masks/train/cell0082_mask.png,train
cell0083.png,pseudo_masks/masks/train/cell0083_mask.png,train
cell0086.png,pseudo_masks/masks/train/cell0086_mask.png,train
cell0087.png,pseudo_masks/masks/train/cell0087_mask.png,train
cell0088.png,pseudo_masks/masks/train/cell0088_mask.png,train
cell0089.png,pseudo_masks/masks/train/cell0089_mask.png,train
cell0090.png,pseudo_masks/masks/train/cell0090_mask.png,train
cell0091.png,pseudo_masks/masks/train/cell0091_mask.png,train
cell0092.png,pseudo_masks/masks/train/cell0092_mask.png,train
cell0095.png,pseudo_masks/masks/train/cell0095_mask.png,train
cell0096.png,pseudo_masks/masks/train/cell0096_mask.png,train
cell0097.png,pseudo_masks/masks/train/cell0097_mask.png,train
cell0098.png,pseudo_masks/masks/train/cell0098_mask.png,train
cell0099.png,pseudo_masks/masks/train/cell0099_mask.png,train
cell0100.png,pseudo_masks/masks/train/cell0100_mask.png,train
cell0101.png,pseudo_masks/masks/train/cell0101_mask.png,train
cell0102.png,pseudo_masks/masks/train/cell0102_mask.png,train
cell0104.png,pseudo_masks/masks/train/cell0104_mask.png,train
cell0105.png,pseudo_masks/masks/train/cell0105_mask.png,train
cell0107.png,pseudo_masks/masks/train/cell0107_mask.png,train
cell0108.png,pseudo_masks/masks/train/cell0108_mask.png,train
cell0110.png,pseudo_masks/masks/train/cell0110_mask.png,train
cell0111.png,pseudo_masks/masks/train/cell0111_mask.png,train
cell0112.png,pseudo_masks/masks/train/cell0112_mask.png,train
cell0113.png,pseudo_masks/masks/train/cell0113_mask.png,train
cell0114.png,pseudo_masks/masks/train/cell0114_mask.png,train
cell0115.png,pseudo_masks/masks/train/cell0115_mask.png,train
cell0116.png,pseudo_masks/masks/train/cell0116_mask.png,train
cell0117.png,pseudo_masks/masks/train/cell0117_mask.png,train
cell0118.png,pseudo_masks/masks/train/cell0118_mask.png,train
cell0119.png,pseudo_masks/masks/train/cell0119_mask.png,train
cell0120.png,pseudo_masks/masks/train/cell0120_mask.png,train
cell0121.png,pseudo_masks/masks/train/cell0121_mask.png,train
cell0122.png,pseudo_masks/masks/train/cell0122_mask.png,train
cell0123.png,pseudo_masks/masks/train/cell0123_mask.png,train
cell0125.png,pseudo_masks/masks/train/cell0125_mask.png,train
cell0127.png,pseudo_masks/masks/train/cell0127_mask.png,train
cell0128.png,pseudo_masks/masks/train/cell0128_mask.png,train
cell0129.png,pseudo_masks/masks/train/cell0129_mask.png,train
cell0130.png,pseudo_masks/masks/train/cell0130_mask.png,train
cell0131.png,pseudo_masks/masks/train/cell0131_mask.png,train
cell0132.png,pseudo_masks/masks/train/cell0132_mask.png,train
cell0133.png,pseudo_masks/masks/train/cell0133_mask.png,train
cell0135.png,pseudo_masks/masks/train/cell0135_mask.png,train
cell0136.png,pseudo_masks/masks/train/cell0136_mask.png,train
cell0137.png,pseudo_masks/masks/train/cell0137_mask.png,train
cell0138.png,pseudo_masks/masks/train/cell0138_mask.png,train
cell0140.png,pseudo_masks/masks/train/cell0140_mask.png,train
cell0141.png,pseudo_masks/masks/train/cell0141_mask.png,train
cell0142.png,pseudo_masks/masks/train/cell0142_mask.png,train
cell0143.png,pseudo_masks/masks/train/cell0143_mask.png,train
cell0144.png,pseudo_masks/masks/train/cell0144_mask.png,train
cell0145.png,pseudo_masks/masks/train/cell0145_mask.png,train
cell0146.png,pseudo_masks/masks/train/cell0146_mask.png,train
cell0148.png,pseudo_masks/masks/train/cell0148_mask.png,train
cell0150.png,pseudo_masks/masks/train/cell0150_mask.png,train
cell0151.png,pseudo_masks/masks/train/cell0151_mask.png,train
cell0152.png,pseudo_masks/masks/train/cell0152_mask.png,train
cell0153.png,pseudo_masks/masks/train/cell0153_mask.png,train
